"area","Rtlower","Rtmedian","Rtupper","Cprojlower","Cprojmedian","Cprojupper"
"Dorset",0.480061231680746,0.801534413627329,1.27556362814013,0.0526233501193279,0.269048720880213,1.4696832293542
"Dudley",0.502036888557309,0.752413204769551,1.08016605855024,0.111753582734402,0.399401204142941,1.42284110134062
"Ealing",0.55877356979872,0.781429031274575,1.07341207346902,0.396358712535631,1.1635153094425,3.56380867474535
"East Riding of Yorkshire",0.376860380109719,0.576736539288134,0.856477529159992,0.106467625217718,0.364467353271557,1.32134484703227
"East Sussex",0.651940299792792,0.888953156977683,1.21697674912573,1.11233731490827,3.14170893192431,9.91929421241287
"Enfield",0.541763794924639,0.799795821213263,1.16062729739152,0.21446142018144,0.74970752208013,2.84618101044782
"Essex",0.592647213405024,0.783410774527466,1.04845942180426,1.49096531249458,3.66385174663992,10.1559717305272
"Gateshead",0.354207821499646,0.598971182057585,0.945602606960907,0.0218170718131594,0.0957310552920117,0.422488897871063
"Gloucestershire",0.612843888052655,0.901926798281504,1.34630119415307,0.402597115249904,1.43851517978308,6.3081490219855
"Greenwich",0.493407886400661,0.746327127020969,1.07323143369197,0.0762548441393348,0.278883558682248,0.995722185467107
"Hackney and City of London",0.608766446655489,0.891160437095824,1.3517080438801,0.290511639909156,0.99176576725496,4.48250412692091
"Halton",0.560390954127826,0.828292095843207,1.21365394867921,0.198170301027038,0.689700894489018,2.69735388978595
"Hammersmith and Fulham",0.492597492360338,0.742278364599884,1.04566963374452,0.16603164674836,0.604224181698462,2.00957111928103
"Hampshire",0.585866792692542,0.866803838956658,1.25272638056766,0.33252471501193,1.19497045094895,4.57025988122552
"Haringey",0.460933607995436,0.723063321904172,1.03266307031455,0.0497443177425546,0.205387115214737,0.721784536461604
"Harrow",0.540959048220597,0.809918068910356,1.18194682992582,0.142386847780214,0.513319902576453,1.97037441162828
"Hartlepool",0.318116312195192,0.548151396754111,0.858736907071679,0.015764513460813,0.0708692672603369,0.297348338027379
"Havering",0.501845136841521,0.75501912789387,1.06711642958459,0.135147480248101,0.490461911504435,1.65484069704119
"Herefordshire, County of",0.520398273566497,0.828671629141451,1.29296822568247,0.0761550849700395,0.331013785551259,1.6454179687736
"Hertfordshire",0.671520919894048,0.893300538874705,1.22189140602111,1.56388212131607,4.04202487094397,12.5951055610058
"Hillingdon",0.674995240961974,0.931737684925877,1.36721519636836,0.907532008113904,2.65195248219605,10.9017734766913
"Hounslow",0.496909657017471,0.729038808390209,1.00775761606043,0.268717249153027,0.885946826181955,2.70370633506592
"Isle of Wight",0.488663667829005,0.804192974410098,1.26534232690054,0.0446348565513423,0.204078363834509,1.00148302759257
"Islington",0.538061158037906,0.804395530622045,1.18416698528074,0.110149031851595,0.390994072234865,1.53317423878993
"Kensington and Chelsea",0.431806612497495,0.687232432789804,0.981651927056983,0.0295373041069275,0.126857656661479,0.443841908067561
"Kent",0.676356422400746,0.861257166614654,1.12222755464103,6.47223010109836,14.4841360886288,37.4099693867268
"Kingston upon Hull, City of",0.304223475405257,0.50240743410581,0.758018590454463,0.0470033788635984,0.192786992255015,0.719065332785046
"Kingston upon Thames",0.503443998478811,0.775530155469052,1.13629146557191,0.0642171307567311,0.242743983467143,0.912660630999836
"Kirklees",0.738630257101043,0.951207595039368,1.27206188634622,7.13347867624558,16.8621674967053,49.1307519660543
"Knowsley",0.67594697887402,0.93558483743254,1.33596519262031,1.02621989282906,3.0555394766304,11.429406563067
"Lambeth",0.519099910367711,0.781715921452815,1.13418051578744,0.0682408418939523,0.249893891397359,0.93528398575256
"Lancashire",0.521116540269519,0.694396514593692,0.908204587384932,1.46190358594541,3.59756056619012,8.95328162432416
"Leeds",0.496448178343758,0.661437348312079,0.866106147691124,1.0853017294365,2.64163351784833,6.52980015979362
