,CODE,AREA,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
121,E06000042,Milton Keynes,269457.0,873.0,309.0,52.072411,-0.7407
122,E06000044,Portsmouth,214905.0,5321.0,40.0,50.807999,-1.07006
123,E06000038,Reading,161780.0,4005.0,40.0,51.453018,-0.99071
124,E06000039,Slough,149539.0,4595.0,33.0,51.503502,-0.57617
125,E06000045,Southampton,252520.0,5062.0,50.0,50.9212,-1.39952
126,E06000037,West Berkshire,158450.0,225.0,704.0,51.445591,-1.27364
127,E06000040,Windsor and Maidenhead,151422.0,771.0,197.0,51.480339,-0.67541
128,E06000041,Wokingham,171119.0,956.0,179.0,51.422958,-0.89935
129,E10000002,Buckinghamshire,543973.0,348.0,1565.0,51.769661,-0.80569
130,E10000011,East Sussex,557229.0,326.0,1709.0,50.938049,0.334559
131,E10000014,Hampshire,1382542.0,376.0,3678.0,51.044739,-1.24735
132,E10000016,Kent,1581555.0,446.0,3544.0,51.192951,0.72137
133,E10000025,Oxfordshire,691667.0,266.0,2605.0,51.771549,-1.29146
134,E10000030,Surrey,1196236.0,720.0,1663.0,51.268028,-0.33911
135,E10000032,West Sussex,863980.0,434.0,1991.0,50.95134,-0.45933
136,E06000022,Bath and North East Somerset,193282.0,559.0,346.0,51.356041,-2.48654
137,E06000058,"Bournemouth, Christchurch and Poole",395331.0,2439.0,162.0,50.74609,-1.84807
138,E06000023,"Bristol, City of",463377.0,4224.0,110.0,51.471149,-2.57742
139,E06000052,Cornwall,569578.0,161.0,3545.0,50.450218,-4.64254
140,E06000059,Dorset,378508.0,152.0,2491.0,50.79697,-2.41467
141,E06000053,Isles of Scilly,2224.0,136.0,16.0,49.923321,-6.30217
142,E06000024,North Somerset,215052.0,575.0,374.0,51.397072,-2.75439
143,E06000026,Plymouth,262100.0,3282.0,80.0,50.404942,-4.11297
144,E06000025,South Gloucestershire,285093.0,574.0,497.0,51.54673,-2.46922
145,E06000030,Swindon,222193.0,966.0,230.0,51.577629,-1.73367
146,E06000027,Torbay,136264.0,2167.0,63.0,50.470921,-3.55523
147,E06000054,Wiltshire,500024.0,154.0,3255.0,51.328831,-1.92661
148,E10000008,Devon,802375.0,122.0,6564.0,50.725578,-3.65698
149,E10000013,Gloucestershire,637070.0,240.0,2653.0,51.81971,-2.15235
150,E10000027,Somerset,562225.0,163.0,3451.0,51.071819,-3.29595
151,W06000001,Isle of Anglesey,70043.0,98.0,712.0,53.279419,-4.32306
152,W06000002,Gwynedd,124560.0,49.0,2535.0,52.89883,-3.77715
153,W06000003,Conwy,117203.0,104.0,1126.0,53.147388,-3.74646
154,W06000004,Denbighshire,95696.0,114.0,837.0,53.088329,-3.34761
155,W06000005,Flintshire,156100.0,355.0,440.0,53.21471,-3.18248
156,W06000006,Wrexham,135957.0,270.0,504.0,53.001671,-2.99203
157,W06000023,Powys,132435.0,26.0,5181.0,52.34864,-3.43531
158,W06000008,Ceredigion,72695.0,41.0,1786.0,52.297951,-3.94993
159,W06000009,Pembrokeshire,125818.0,78.0,1618.0,51.855129,-4.90818
160,W06000010,Carmarthenshire,188771.0,80.0,2370.0,51.894951,-4.2111
161,W06000011,Swansea,246993.0,654.0,378.0,51.658058,-3.96723
162,W06000012,Neath Port Talbot,143315.0,325.0,441.0,51.644501,-3.74638
163,W06000013,Bridgend,147049.0,586.0,251.0,51.5606,-3.61375
164,W06000014,Vale of Glamorgan,133587.0,403.0,331.0,51.44836,-3.39803
165,W06000015,Cardiff,366903.0,2604.0,141.0,51.502541,-3.22208
166,W06000016,Rhondda Cynon Taf,241264.0,569.0,424.0,51.621849,-3.41359
167,W06000024,Merthyr Tydfil,60326.0,541.0,111.0,51.748581,-3.36425
168,W06000018,Caerphilly,181075.0,653.0,277.0,51.650009,-3.19753
169,W06000019,Blaenau Gwent,69862.0,643.0,109.0,51.753639,-3.18592
170,W06000020,Torfaen,93961.0,748.0,126.0,51.69836,-3.05101
171,W06000021,Monmouthshire,94590.0,111.0,849.0,51.778271,-2.9028
