AREA,CODE,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
Ceredigion,W06000008,72695.0,41.0,1786.0,52.297951,-3.94993
Pembrokeshire,W06000009,125818.0,78.0,1618.0,51.855129,-4.90818
Carmarthenshire,W06000010,188771.0,80.0,2370.0,51.894951,-4.2111
Swansea,W06000011,246993.0,654.0,378.0,51.658058,-3.96723
Neath Port Talbot,W06000012,143315.0,325.0,441.0,51.644501,-3.74638
Bridgend,W06000013,147049.0,586.0,251.0,51.5606,-3.61375
Vale of Glamorgan,W06000014,133587.0,403.0,331.0,51.44836,-3.39803
Cardiff,W06000015,366903.0,2604.0,141.0,51.502541,-3.22208
Rhondda Cynon Taf,W06000016,241264.0,569.0,424.0,51.621849,-3.41359
Merthyr Tydfil,W06000024,60326.0,541.0,111.0,51.748581,-3.36425
Caerphilly,W06000018,181075.0,653.0,277.0,51.650009,-3.19753
Blaenau Gwent,W06000019,69862.0,643.0,109.0,51.753639,-3.18592
Torfaen,W06000020,93961.0,748.0,126.0,51.69836,-3.05101
Monmouthshire,W06000021,94590.0,111.0,849.0,51.778271,-2.9028
Newport,W06000022,154676.0,812.0,190.0,51.58231,-2.89769
Aberdeen City,S12000033,228670.0,1232.0,186.0,57.166969,-2.20398
Aberdeenshire,S12000034,261210.0,41.0,6313.0,57.234692,-2.79208
Angus,S12000041,116200.0,53.0,2182.0,56.7248,-2.89189
Argyll and Bute,S12000035,85870.0,12.0,6907.0,56.28944,-5.22114
City of Edinburgh,S12000036,524930.0,1993.0,263.0,55.91119,-3.27826
Clackmannanshire,S12000005,51540.0,324.0,159.0,56.14724,-3.75344
Dumfries and Galloway,S12000006,148860.0,23.0,6426.0,55.09621,-4.02863
Dundee City,S12000042,149320.0,2496.0,60.0,56.4776,-2.97095
East Ayrshire,S12000008,122010.0,97.0,1262.0,55.496738,-4.29057
East Dunbartonshire,S12000045,108640.0,623.0,174.0,55.95829,-4.22417
East Lothian,S12000010,107090.0,158.0,679.0,55.94207,-2.72435
East Renfrewshire,S12000011,95530.0,548.0,174.0,55.74868,-4.3606
Falkirk,S12000014,160890.0,541.0,297.0,55.99604,-3.7706
Fife,S12000047,373550.0,282.0,1325.0,56.231171,-2.98235
Glasgow City,S12000049,633120.0,3626.0,175.0,55.876492,-4.21479
