area,Date,C_lower,C_median,C_upper
"Bournemouth, Christchurch and Poole",2020-07-22,0.10967,0.39150999999999997,1.5503200000000001
"Bournemouth, Christchurch and Poole",2020-07-23,0.09942000000000001,0.37974,1.6218700000000001
"Bournemouth, Christchurch and Poole",2020-07-24,0.09013,0.36833,1.69672
"Bournemouth, Christchurch and Poole",2020-07-25,0.08171,0.35725999999999997,1.7750299999999999
"Bournemouth, Christchurch and Poole",2020-07-26,0.07408,0.34652,1.85695
"Bournemouth, Christchurch and Poole",2020-07-27,0.06717000000000001,0.33610999999999996,1.94265
"Bournemouth, Christchurch and Poole",2020-07-28,0.0609,0.32600999999999997,2.0323
"Bournemouth, Christchurch and Poole",2020-07-29,0.05521,0.31621,2.12609
Bracknell Forest,2020-07-09,0.19127,0.34149,0.58413
Bracknell Forest,2020-07-10,0.25056999999999996,0.44971000000000005,0.77571
Bracknell Forest,2020-07-11,0.28704,0.52409,0.92869
Bracknell Forest,2020-07-12,0.29862,0.56117,1.03831
Bracknell Forest,2020-07-13,0.29319,0.5733199999999999,1.12261
Bracknell Forest,2020-07-14,0.27821,0.57163,1.19646
Bracknell Forest,2020-07-15,0.25885,0.56323,1.2684600000000001
Bracknell Forest,2020-07-16,0.2382,0.55204,1.34276
Bracknell Forest,2020-07-17,0.2179,0.53997,1.4211200000000002
Bracknell Forest,2020-07-18,0.19874,0.52783,1.50426
Bracknell Forest,2020-07-19,0.18102000000000001,0.51593,1.5925
Bracknell Forest,2020-07-20,0.16479000000000002,0.50435,1.68608
Bracknell Forest,2020-07-21,0.15,0.49308,1.7852400000000002
Bracknell Forest,2020-07-22,0.13652999999999998,0.48211000000000004,1.8902700000000001
Bracknell Forest,2020-07-23,0.12429000000000001,0.47141000000000005,2.0015
Bracknell Forest,2020-07-24,0.11315,0.46095,2.1192900000000003
Bracknell Forest,2020-07-25,0.10300999999999999,0.45074,2.244
Bracknell Forest,2020-07-26,0.09379,0.44075,2.37605
Bracknell Forest,2020-07-27,0.08539,0.43099,2.51587
Bracknell Forest,2020-07-28,0.07775,0.42145,2.66392
Bracknell Forest,2020-07-29,0.07078999999999999,0.41211000000000003,2.8206900000000004
Bradford,2020-07-09,20.208,26.65033,35.82735
Bradford,2020-07-10,20.09306,26.605320000000003,35.97092
Bradford,2020-07-11,19.6934,26.46665,36.53027
Bradford,2020-07-12,19.05487,26.225720000000003,37.37207
Bradford,2020-07-13,18.281470000000002,25.91899,38.37444
Bradford,2020-07-14,17.45335,25.57836,39.46474
Bradford,2020-07-15,16.61937,25.22396,40.60751
Bradford,2020-07-16,15.80534,24.86661,41.78841
Bradford,2020-07-17,15.02304,24.51146,43.00316
Bradford,2020-07-18,14.276689999999999,24.16062,44.25161
Bradford,2020-07-19,13.56684,23.81479,45.53497
Bradford,2020-07-20,12.892439999999999,23.47409,46.85472
Bradford,2020-07-21,12.25188,23.13844,48.212270000000004
Bradford,2020-07-22,11.6434,22.80771,49.608959999999996
Bradford,2020-07-23,11.06532,22.48177,51.04602
Bradford,2020-07-24,10.51604,22.160529999999998,52.524680000000004
Bradford,2020-07-25,9.99409,21.84389,54.04617
Bradford,2020-07-26,9.49807,21.531779999999998,55.61173
Bradford,2020-07-27,9.026689999999999,21.22414,57.222640000000006
Bradford,2020-07-28,8.5787,20.9209,58.88021
Bradford,2020-07-29,8.15295,20.621979999999997,60.585809999999995
Brent,2020-07-09,1.35942,2.10263,3.15658
Brent,2020-07-10,1.44316,2.24556,3.3997
Brent,2020-07-11,1.46069,2.32247,3.6216199999999996
Brent,2020-07-12,1.43134,2.35661,3.84542
Brent,2020-07-13,1.37576,2.3677599999999996,4.08006
Brent,2020-07-14,1.30824,2.3681400000000004,4.32907
Brent,2020-07-15,1.2371299999999998,2.3641400000000004,4.59393
Brent,2020-07-16,1.16678,2.3587,4.87554
Brent,2020-07-17,1.09917,2.35298,5.17473
Brent,2020-07-18,1.0350700000000002,2.34737,5.49245
Brent,2020-07-19,0.9746299999999999,2.34191,5.82974
Brent,2020-07-20,0.91776,2.33659,6.18776
Brent,2020-07-21,0.86425,2.3313599999999997,6.56778
Brent,2020-07-22,0.81391,2.3261700000000003,6.9711300000000005
Brent,2020-07-23,0.76653,2.32102,7.39925
Brent,2020-07-24,0.72192,2.31589,7.85367
Brent,2020-07-25,0.67993,2.31077,8.335989999999999
Brent,2020-07-26,0.6403800000000001,2.30567,8.84793
Brent,2020-07-27,0.60313,2.30058,9.39131
Brent,2020-07-28,0.56805,2.29549,9.968060000000001
Brent,2020-07-29,0.53501,2.29042,10.58023
Bridgend,2020-07-09,0.2309,0.41596000000000005,0.7290800000000001
Bridgend,2020-07-10,0.25772,0.46721999999999997,0.8276700000000001
Bridgend,2020-07-11,0.26713000000000003,0.49528999999999995,0.91
Bridgend,2020-07-12,0.26259,0.50525,0.9824700000000001
Bridgend,2020-07-13,0.24975,0.50456,1.05211
Bridgend,2020-07-14,0.23292,0.49851,1.1233
Bridgend,2020-07-15,0.21481,0.49012,1.19828
