NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
London,2020-04-21,0.94741461210091,0.813822484205297,1.10502114322801
London,2020-04-20,0.707600512427863,0.601815142161134,0.846149470679483
London,2020-04-19,0.707959754185886,0.602039082936691,0.846638433803187
London,2020-04-18,0.708345228134917,0.60228561976221,0.847143611848828
London,2020-04-17,0.708758403400252,0.602555797452182,0.847664880579666
London,2020-04-16,0.709202091137487,0.602853056010697,0.848215000239871
London,2020-04-15,0.70969612591826,0.603182818548003,0.848799197816086
London,2020-04-14,0.710256408544451,0.603551516765645,0.849450419378358
London,2020-04-13,0.546929641427553,0.485468019059982,0.598772393333944
London,2020-04-12,0.547373362793809,0.48576144573269,0.599064506964097
London,2020-04-11,0.547871503145564,0.486098484959332,0.599431943955743
London,2020-04-10,0.548439444489973,0.486485587040203,0.599895478351295
London,2020-04-09,0.549044894200498,0.486921599510366,0.600589616817329
London,2020-04-08,0.549692639834114,0.487365855224706,0.601451585376825
London,2020-04-07,0.550482010041277,0.487896478058224,0.602331800061503
London,2020-04-06,0.398201021315772,0.358708712873201,0.4374732404044
London,2020-04-05,0.398738286057687,0.359093254676987,0.438151706484395
London,2020-04-04,0.399378211261461,0.359560815986146,0.438952593738768
London,2020-04-03,0.40012870428935,0.360129107757667,0.439901334976353
London,2020-04-02,0.400933493769056,0.360817840840888,0.441059166910864
London,2020-04-01,0.402090426943262,0.361646762524481,0.442506335068082
London,2020-03-31,0.403313619245551,0.362635881619145,0.444232853438729
London,2020-03-30,0.39439881170057,0.343940118672525,0.446097606560871
London,2020-03-29,0.396255293009613,0.345280504740918,0.448269121995178
London,2020-03-28,0.398345503546307,0.346948105188782,0.450843002482585
London,2020-03-27,0.40085348617611,0.348812233435385,0.45388267356288
London,2020-03-26,0.403812947480023,0.351254041922825,0.457392114319156
London,2020-03-25,0.406859699418155,0.353495585390356,0.461243291587692
London,2020-03-24,0.409718091370115,0.355787881403941,0.46420756099398
London,2020-03-23,2.23737173244958,2.11613423509353,2.40185620766148
London,2020-03-22,2.30668076317423,2.18766968690569,2.46156552197834
London,2020-03-21,2.36225185204299,2.24225898816207,2.5114630538616
London,2020-03-20,2.41015596222579,2.28981342502327,2.5540676583487
London,2020-03-19,2.45014727624411,2.33317306316634,2.59629507145154
London,2020-03-18,2.48433153499508,2.36653362955896,2.63100691996701
London,2020-03-17,2.5114778250189,2.39316808005283,2.6576274328925
London,2020-03-16,2.53501490075664,2.41558390382422,2.68226904331599
London,2020-03-15,2.55290436873569,2.43686863879213,2.7021252658837
London,2020-03-14,2.56797934052157,2.45363298893426,2.71699230124495
London,2020-03-13,2.57880582265006,2.46753758847306,2.72797160682101
London,2020-03-12,2.58780965401594,2.47806267662908,2.73679425242153
London,2020-03-11,2.59606100316937,2.48661164034977,2.74383033411093
London,2020-03-10,2.60258254941625,2.49354407832562,2.74943445418085
London,2020-03-09,2.60748724398067,2.49915815927357,2.75389350128228
London,2020-03-08,2.61158845592906,2.50369968595917,2.75743857694677
London,2020-03-07,2.61448338349579,2.5073703560488,2.76025520939019
London,2020-03-06,2.61710471984716,2.51033506442912,2.76249194030005
London,2020-03-05,2.6194361255588,2.51272821932778,2.76426744606853
London,2020-03-04,2.62093572303495,2.51465911870708,2.76567638349883
London,2020-03-03,2.62221096014587,2.51621647197435,2.76679415126472
London,2020-03-02,2.62335703984777,2.51747216802797,2.76768074513391
London,2020-03-01,2.62423659208029,2.51848439298206,2.76838386505885
London,2020-02-29,2.62492722035468,2.51930019550285,2.76894141032424
London,2020-02-28,2.62539611756375,2.5199575883445,2.76938347761157
London,2020-02-27,2.6257700055269,2.52048726391522,2.76973395750739
London,2020-02-26,2.62606812085128,2.52091319456471,2.77001180821351
London,2020-02-25,2.62630581194898,2.52121572596194,2.77023207058959
London,2020-02-24,2.62649532305432,2.52145954857044,2.77040667526828
London,2020-02-23,2.62664641857801,2.52165604574353,2.7705450817696
London,2020-02-22,2.62676687956404,2.521814389778,2.77065478630021
London,2020-02-21,2.62686291139658,2.52194197867908,2.77074173718364
London,2020-02-20,2.62693949082601,2.5220448132451,2.77081067771636
London,2020-02-19,2.6270006053076,2.5221277503018,2.7708653751893
London,2020-02-18,2.62704930734399,2.52219454287465,2.77090869393256
London,2020-02-17,2.62708781839177,2.52224795621211,2.77094272648573
Midlands,2020-11-08,1.36809769869995,1.24268393415464,1.48135507584719
Midlands,2020-11-07,1.37195580928557,1.24596501154724,1.48734714762814
Midlands,2020-11-06,1.37540515805942,1.24907678776648,1.49368659581611
Midlands,2020-11-05,1.37878781713503,1.25202479384058,1.49955529321596
Midlands,2020-11-04,1.38205387639218,1.25485302435188,1.50537270482472
Midlands,2020-11-03,1.38550680512499,1.25764932791818,1.51092127676243
Midlands,2020-11-02,1.09860506812679,1.00263167385928,1.20281270949481
Midlands,2020-11-01,1.10058075075741,1.00396358176818,1.20571348510375
Midlands,2020-10-31,1.10265124165306,1.00529578913245,1.20850814141757
Midlands,2020-10-30,1.10431632569992,1.00662774392644,1.21119869500475
Midlands,2020-10-29,1.10611870992265,1.00795897848629,1.21389383372347
Midlands,2020-10-28,1.10838609945789,1.00927415972088,1.21627733062743
Midlands,2020-10-27,1.10984992189263,1.01056053159244,1.21853678448428
